description,poster,rating,title,votes
A parody of reality shows cast with spoofs of several famous types of animated characters.,"https://m.media-amazon.com/images/M/MV5BN2NkODVhNDYtNzJhYy00ZTY5LWJkNTktN2EzOWJkYWI5MjdmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTEwMTkwOTI@._V1_QL75_UX190_CR0,3,190,281_.jpg",7.0,Drawn Together,20K
Follow the adventures and misadventures of Penny Proud as she does her best to navigate through the early years of teend-dom.,"https://m.media-amazon.com/images/M/MV5BYTI1ZGU3MDYtOWY5Yi00YmI3LWE1YWMtMzRkMWYyYmE0ZjEyXkEyXkFqcGdeQXVyOTQ5Njc0MDU@._V1_QL75_UY281_CR11,0,190,281_.jpg",6.5,The Proud Family,6.8K
A tournament takes place to determine the best fighter among all high school students in Korea.,"https://m.media-amazon.com/images/M/MV5BYjljYmYzNjMtZWY5YS00OGZjLTk4MTYtNDZmYzkxYjgyMDMzXkEyXkFqcGdeQXVyODM2NjQzOTA@._V1_QL75_UY281_CR4,0,190,281_.jpg",7.4,The God of High School,4.8K
"E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car.","https://m.media-amazon.com/images/M/MV5BMTY4MDcxNTkzNV5BMl5BanBnXkFtZTcwMTg2MDY2NA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",5.4,Hop,33K
"Spinoff of SpongeBob SquarePants (1999) with the characters reimagined as children. SpongeBob is a kid camper who spends his summer catching jellyfish, building campfires, and swimming in Lake Yuckymuck.","https://m.media-amazon.com/images/M/MV5BNGYyZjA1NTQtMmMzOS00ZGI4LWI0YjAtY2MzYTA3YWNjODg4XkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_QL75_UY281_CR1,0,190,281_.jpg",3.8,Kamp Koral: SpongeBob's Under Years,906
A group of Southerners strive to live the American dream.,"https://m.media-amazon.com/images/M/MV5BMDhlMzEyNmMtMTEyZC00YTI2LTkxNjgtMjk5MzVhZmFkMTIxXkEyXkFqcGdeQXVyMjM5NDQzNTk@._V1_QL75_UX190_CR0,2,190,281_.jpg",5.5,Bless the Harts,1.8K
"After his principal (Andy Daly) destroys his sketchbook, Rafe (Griffin Gluck) and his best friend Leo (Thomas Barbusca) decide to ""destroy his book"" and break every rule in the school's Code of Conduct.","https://m.media-amazon.com/images/M/MV5BNjQzMTczNjI0Ml5BMl5BanBnXkFtZTgwODY5MTY5OTE@._V1_QL75_UX190_CR0,10,190,281_.jpg",6.1,Middle School: The Worst Years of My Life,8.5K
"An alien named Zim from the planet Irk is sent on a secret mission to conquer Earth, not realising that his leaders were just trying to get rid of him and hoped that he would die. Once there, Zim manages to disguise himself as a human child, but one boy named Dib sees through his disguise.","https://m.media-amazon.com/images/M/MV5BOTZjZWM2OGUtOGFjMC00NjEzLWJjNjktNzA1MTZlZWQzZGE1XkEyXkFqcGdeQXVyODA4OTIyMzY@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.3,Invader ZIM,20K
"Rabbit, a country-born trickster, takes over the organized crime racket in Harlem, facing opposition from the institutionalized racism of the Mafia and corrupt police.","https://m.media-amazon.com/images/M/MV5BMWViMTgxZWQtZDQyNi00NWFhLWE2ZWYtYjZlMjNiOWY2MmY4XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_QL75_UX190_CR0,4,190,281_.jpg",6.5,Coonskin,3K
"In this collection of animated shorts based on the stories and characters by A.A. Milne, Winnie the Pooh, a honey-loving teddy bear, embarks on some eccentric adventures.","https://m.media-amazon.com/images/M/MV5BNjg5MjQzYTQtMTUzZC00NzlkLTgzZDEtMjg0OWY4NTNjNzJlXkEyXkFqcGdeQXVyNjI4MjU4MTY@._V1_QL75_UX190_CR0,3,190,281_.jpg",7.6,The Many Adventures of Winnie the Pooh,35K
A villain's maniacal plan for world domination sidetracks five teenage superheroes who dream of Hollywood stardom.,"https://m.media-amazon.com/images/M/MV5BOTZhMTIwZDUtYjZjZS00MmViLTg3NzEtNWE5NzI1NDUwNDJmXkEyXkFqcGdeQXVyODQxMTI4MjM@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.8,Teen Titans Go! To the Movies,18K
"Set in the Shinigami technical school for weapon meisters, the series revolves around 3 duo's. These pairs are a partnership between a weapon meister and a human weapon. Trying to reach a ranking of ""Death Scythe"" (and thus fit for use by the Shinigami) they must collect the souls of 99 evil humans and 1 witch. However, forces outside of the Academy make it more chall...","https://m.media-amazon.com/images/M/MV5BNTdiNTJmMzktZmE2MC00OWUxLWE1MjktMTdhN2Q1OWNlODY1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY281_CR23,0,190,281_.jpg",7.8,Sôru îtâ,12K
"A prophet who has the ability to interpret dreams is sold into slavery in Egypt, where people learn of his gifts.","https://m.media-amazon.com/images/M/MV5BZWEzMzg4M2EtYjhmMS00NGYzLWJiZTgtNTg3MGMzOTIxMDAxXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_QL75_UY281_CR3,0,190,281_.jpg",6.5,Joseph: King of Dreams,12K
